Pressure (kPa) Loading,Resistance (Ω) Loading,Pressure (kPa) Unload,Resistance (Ω) Unload
61.38889,44.01132,13.33333,237.4667
62.5,43.40407,12.77778,255.6375
63.33333,42.88362,12.22222,275.6346
64.16667,42.29235,11.66667,290.1437
65.27778,41.76053,11.38889,314.2867
66.38889,41.26057,10.83333,343.5326
67.5,40.75158,10.27778,374.7973
68.33333,40.16036,9.72222,407.8785
69.16667,39.7745,9.16667,437.9195
70.27778,39.30431,8.88889,479.0464
71.11111,38.8911,8.33333,511.6662
72.22222,38.42995,8.05556,565.5112
73.33333,38.058,7.5,612.4788
74.16667,37.68816,7.22222,685.9748
75,37.32297,6.66667,759.0545
75.83333,36.97131,6.38889,836.6581
76.38889,36.70889,5.83333,947.1917
76.94444,36.41899,5.55556,1044.935
77.5,36.24778,5.27778,1182.749
77.77778,36.02865,5,1298.151
78.33333,35.85973,4.44444,1441.199
78.61111,35.63586,4.16667,1591.588
78.88889,35.48985,3.88889,1762.403
79.16667,35.38493,3.61111,2317.891
79.44444,35.17264,3.33333,2503.221
80,35.01285,3.33333,2791.013
80.55556,34.87593,3.05556,3163.73
81.38889,34.67958,2.77778,3555.411
81.66667,34.52439,2.5,3942.896
82.77778,34.29144,2.5,4588.998
83.61111,34.10894,2.22222,5352.834
84.44444,33.89433,2.22222,6339.367
85.27778,33.67516,1.94444,7239.143
86.38889,33.48116,1.94444,8150.342
87.22222,33.24148,1.66667,9164.652
88.33333,33.05202,1.66667,10109.96
89.16667,32.80548,1.38889,10757.59
90,32.61374,1.38889,11925.38
91.11111,32.365,1.38889,12698.99
92.22222,32.1959,1.38889,12776.44
93.05556,32.03165,1.38889,13331.6
94.16667,31.81255,1.11111,13526.98
95,31.65497,1.11111,14032.82
96.11111,31.47239,1.11111,14938.13
96.94444,31.3012,1.11111,15610.02
98.05556,31.11398,1.11111,15778.77
99.16667,30.90176,1.11111,16076.32
100.27778,30.7465,1.11111,20321.93
101.38889,30.49084,1.11111,20937.98
102.22222,30.36073,1.11111,21658.67
103.33333,30.16438,0.83333,24542.4
104.44444,30.00235,0.83333,27280.39
105.55556,29.81973,0.83333,31097.36
106.66667,29.63027,0.83333,32211.29
107.77778,29.45906,0.83333,39542.14
108.88889,29.28091,0.83333,44730.01
110.27778,29.12579,0.55556,50463.75
111.38889,28.96147,0.55556,52281.11
112.22222,28.84495,0.55556,57239.93
113.61111,28.66012,0.55556,64154.07
114.72222,28.49113,0.55556,72443.54
116.11111,28.3337,0.55556,76365.75
117.22222,28.22406,0.55556,81944.09
118.61111,28.0963,0.55556,89370.41
119.72222,27.93651,0.27778,96999.16
121.11111,27.79723,0.27778,101964.2
122.22222,27.68313,0.27778,110392.2
123.61111,27.50054,0.27778,108114.8
124.72222,27.40229,0.27778,106571.5
125.83333,27.31793,0.27778,97605.95
127.22222,27.17868,0.27778,102995.3
128.33333,27.0577,0.27778,104789.2
129.72222,26.93441,0.27778,107871.6
131.11111,26.80201,0,105460.7
132.22222,26.70842,0.27778,103250.9
133.61111,26.56461,0.27778,107167.7
135,26.44591,0.27778,132501.4
136.38889,26.38656,0,133172.8
137.5,26.29979,0,132349.3
138.61111,26.19713,0,158902.3
140.55556,26.1309,0,170972.5
140.55556,26.0259,0,275043.8
140.55556,26.01902,0,242631.6
140.55556,25.94369,0,306539.3
140.55556,25.92318,0,504569.4
140.27778,25.91401,0,543110.6
140.27778,25.87752,0,518795.1
140.27778,25.83178,0,563280.2
140.27778,25.81354,0,577225.3
140.27778,25.80441,0,517104.2
140.27778,25.841,0,596054.4
140.27778,25.77939,0,657947.3
,,0,660491.4
,,0,671620.1
,,0,600381.7
,,0,735516.2
,,0,633102.8
,,0,600426.1
,,0,610703.9
,,0,781414.6
